2020 National Employment Matrix title,Typical education needed for entry,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associates degree,Bachelors degree,Masters degree,Doctoral or professional degree
Chief executives(1),Bachelors degree,1.5,8.3,14.2,5.1,40.5,23.7,6.7
General and operations managers,Bachelors degree,2.6,17.0,24.8,9.8,33.0,11.1,1.6
Legislators(1),Bachelors degree,1.5,8.3,14.2,5.1,40.5,23.7,6.7
Advertising and promotions managers,Bachelors degree,0.8,3.9,10.8,6.0,63.6,12.8,2.1
Marketing managers,Bachelors degree,0.7,3.8,9.3,5.0,55.8,23.5,2.0
Sales managers,Bachelors degree,1.3,10.8,19.6,9.0,46.2,11.9,1.2
Public relations and fundraising managers,Bachelors degree,0.2,3.0,5.2,4.3,54.6,28.7,3.9
Administrative services and facilities managers(1),Bachelors degree,2.4,18.1,23.8,12.0,31.6,10.6,1.5
Computer and information systems managers,Bachelors degree,0.4,4.1,13.1,7.7,45.8,25.9,2.9
Financial managers,Bachelors degree,1.0,10.1,17.5,7.3,42.1,19.6,2.3
Industrial production managers,Bachelors degree,4.1,20.4,20.3,8.9,32.5,12.5,1.3
Purchasing managers,Bachelors degree,1.3,11.4,16.9,8.2,40.7,18.7,2.7
"Transportation, storage, and distribution managers",High school diploma or equivalent,5.9,29.4,25.6,9.9,22.1,6.5,0.6
Compensation and benefits managers,Bachelors degree,0.6,8.5,15.0,5.6,49.3,18.8,2.3
Human resources managers,Bachelors degree,2.1,9.9,16.0,7.6,40.7,20.9,2.8
Training and development managers,Bachelors degree,1.0,7.2,15.3,7.2,39.8,25.3,4.3
"Farmers, ranchers, and other agricultural managers",High school diploma or equivalent,10.8,32.5,19.6,11.3,21.3,3.6,1.0
Construction managers,Bachelors degree,6.6,26.6,22.9,9.1,27.9,5.9,1.0
"Education and childcare administrators, preschool and daycare(1)",Bachelors degree,0.7,4.9,7.2,4.4,25.3,43.3,14.3
"Education administrators, kindergarten through secondary(1)",Masters degree,0.7,4.9,7.2,4.4,25.3,43.3,14.3
"Education administrators, postsecondary(1)",Masters degree,0.7,4.9,7.2,4.4,25.3,43.3,14.3
"Education administrators, all other(1)",Bachelors degree,0.7,4.9,7.2,4.4,25.3,43.3,14.3
Architectural and engineering managers,Bachelors degree,0.4,4.3,7.0,4.8,47.1,30.6,5.8
Food service managers,High school diploma or equivalent,9.2,28.5,26.2,9.9,21.9,3.5,0.7
Gambling managers(1),High school diploma or equivalent,2.8,17.8,27.3,11.0,28.8,11.5,0.9
Lodging managers,High school diploma or equivalent,4.8,16.7,23.0,10.0,36.1,8.0,1.4
Medical and health services managers,Bachelors degree,1.3,8.4,15.1,11.6,30.9,25.3,7.4
Natural sciences managers,Bachelors degree,0.4,2.8,3.7,3.9,33.8,34.8,20.6
Postmasters and mail superintendents(1),High school diploma or equivalent,3.3,15.3,18.2,7.7,34.5,17.3,3.7
"Property, real estate, and community association managers",High school diploma or equivalent,3.9,19.0,24.0,9.9,31.7,9.0,2.4
Social and community service managers,Bachelors degree,1.0,7.4,13.0,5.7,38.9,28.6,5.4
Emergency management directors,Bachelors degree,0.1,8.0,14.9,9.4,38.2,27.4,2.1
Funeral home managers(1),Associates degree,3.3,15.3,18.2,7.7,34.5,17.3,3.7
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other(1)",Bachelors degree,3.0,14.1,17.5,7.5,36.1,18.2,3.5
"Agents and business managers of artists, performers, and athletes",Bachelors degree,2.7,9.3,19.7,5.8,46.1,11.8,4.7
Buyers and purchasing agents(1),Bachelors degree,2.8,19.9,24.1,10.2,34.2,8.0,0.8
"Claims adjusters, examiners, and investigators(1)",High school diploma or equivalent,1.0,13.9,23.6,11.1,40.5,7.9,2.0
"Insurance appraisers, auto damage(1)",Postsecondary nondegree award,1.0,13.9,23.6,11.1,40.5,7.9,2.0
Compliance officers,Bachelors degree,1.2,8.7,16.4,8.9,40.5,18.1,6.2
Cost estimators,Bachelors degree,3.1,21.2,27.4,11.3,31.3,5.3,0.4
Human resources specialists(1),Bachelors degree,1.0,8.6,17.6,8.1,45.7,17.0,2.0
Farm labor contractors(1),No formal educational credential,1.0,8.6,17.6,8.1,45.7,17.0,2.0
Labor relations specialists(1),Bachelors degree,1.0,8.6,17.6,8.1,45.7,17.0,2.0
Logisticians,Bachelors degree,2.3,17.0,23.9,13.3,32.1,10.4,1.0
Management analysts,Bachelors degree,0.8,4.5,11.1,4.9,43.0,29.1,6.6
"Meeting, convention, and event planners",Bachelors degree,1.5,9.1,14.5,8.0,54.3,11.9,0.6
Fundraisers,Bachelors degree,0.4,2.1,6.1,2.2,51.5,33.4,4.3
"Compensation, benefits, and job analysis specialists",Bachelors degree,0.6,13.5,20.1,12.1,41.0,10.9,1.7
Training and development specialists,Bachelors degree,1.8,13.0,21.8,9.7,33.9,17.3,2.5
Market research analysts and marketing specialists,Bachelors degree,0.6,5.0,10.5,4.6,54.2,22.3,2.9
"Project management specialists and business operations specialists, all other(1)",Bachelors degree,1.0,7.6,14.6,7.5,44.0,22.4,3.0
