Year,State,Exit Code,Reporting Period,Ages Birth through 2,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or More Races,R/E Total,Male,Female,Gender Total,filename
2019-2020,Alabama,Attempts to contact unsuccessful,12/01/2018 - 11/30/2019,327,28,0,6,179,0,101,13,327,216,111,327,data\data_file_10.csv.csv
2019-2020,Alabama,Completion of IFSP prior to max age,12/01/2018 - 11/30/2019,359,7,0,7,115,0,212,18,359,222,137,359,data\data_file_10.csv.csv
2019-2020,Alabama,Deceased,12/01/2018 - 11/30/2019,17,2,0,0,4,0,10,1,17,9,8,17,data\data_file_10.csv.csv
2019-2020,Alabama,Moved out of state,12/01/2018 - 11/30/2019,120,5,0,2,31,0,75,7,120,84,36,120,data\data_file_10.csv.csv
2019-2020,Alabama,Not eligible Part B - exit to other program,12/01/2018 - 11/30/2019,78,10,0,0,31,0,31,6,78,49,29,78,data\data_file_10.csv.csv
2019-2020,Alabama,Not eligible Part B - exit with no referrals,12/01/2018 - 11/30/2019,110,6,0,1,32,0,70,1,110,74,36,110,data\data_file_10.csv.csv
2019-2020,Alabama,Part B eligibility not determined,12/01/2018 - 11/30/2019,232,13,0,4,85,0,124,6,232,165,67,232,data\data_file_10.csv.csv
2019-2020,Alabama,"Part B eligible, Continuing in Part C",12/01/2018 - 11/30/2019,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Alabama,"Part B eligible, exiting Part C",12/01/2018 - 11/30/2019,1273,62,2,13,347,2,781,66,1273,897,376,1273,data\data_file_10.csv.csv
2019-2020,Alabama,Total number exiting,12/01/2018 - 11/30/2019,3628,195,4,42,1086,4,2125,172,3628,2358,1270,3628,data\data_file_10.csv.csv
2019-2020,Alabama,Withdrawal by parent,12/01/2018 - 11/30/2019,1112,62,2,9,262,2,721,54,1112,642,470,1112,data\data_file_10.csv.csv
2019-2020,Alaska,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,115,14,41,2,1,4,44,9,115,71,44,115,data\data_file_10.csv.csv
2019-2020,Alaska,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,105,8,19,3,3,2,63,7,105,53,52,105,data\data_file_10.csv.csv
2019-2020,Alaska,Deceased,07/01/2019 - 06/30/2020,1,0,1,0,0,0,0,0,1,0,1,1,data\data_file_10.csv.csv
2019-2020,Alaska,Moved out of state,07/01/2019 - 06/30/2020,56,9,2,0,3,2,32,8,56,38,18,56,data\data_file_10.csv.csv
2019-2020,Alaska,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,21,0,8,0,0,0,11,2,21,11,10,21,data\data_file_10.csv.csv
2019-2020,Alaska,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,19,2,6,0,0,0,10,1,19,8,11,19,data\data_file_10.csv.csv
2019-2020,Alaska,Part B eligibility not determined,07/01/2019 - 06/30/2020,100,5,29,3,3,1,46,13,100,61,39,100,data\data_file_10.csv.csv
2019-2020,Alaska,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Alaska,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,352,33,89,11,10,3,179,27,352,255,97,352,data\data_file_10.csv.csv
2019-2020,Alaska,Total number exiting,07/01/2019 - 06/30/2020,933,82,220,26,26,14,480,85,933,599,334,933,data\data_file_10.csv.csv
2019-2020,Alaska,Withdrawal by parent,07/01/2019 - 06/30/2020,164,11,25,7,6,2,95,18,164,102,62,164,data\data_file_10.csv.csv
2019-2020,American Samoa,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,0,0,0,x,0,0,0,x,0,0,0,0,data\data_file_10.csv.csv
2019-2020,American Samoa,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,2,0,0,x,0,2,0,x,2,2,0,2,data\data_file_10.csv.csv
2019-2020,American Samoa,Deceased,07/01/2019 - 06/30/2020,2,0,0,x,0,2,0,x,2,2,0,2,data\data_file_10.csv.csv
2019-2020,American Samoa,Moved out of state,07/01/2019 - 06/30/2020,2,0,0,x,0,1,0,x,2,2,0,2,data\data_file_10.csv.csv
2019-2020,American Samoa,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,0,0,0,x,0,0,0,x,0,0,0,0,data\data_file_10.csv.csv
2019-2020,American Samoa,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,0,0,0,x,0,0,0,x,0,0,0,0,data\data_file_10.csv.csv
2019-2020,American Samoa,Part B eligibility not determined,07/01/2019 - 06/30/2020,2,0,0,x,0,1,0,x,2,1,1,2,data\data_file_10.csv.csv
2019-2020,American Samoa,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,0,0,0,x,0,0,0,x,0,0,0,0,data\data_file_10.csv.csv
2019-2020,American Samoa,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,18,0,0,x,0,16,0,x,18,10,8,18,data\data_file_10.csv.csv
2019-2020,American Samoa,Total number exiting,07/01/2019 - 06/30/2020,27,0,0,x,0,23,0,x,27,18,9,27,data\data_file_10.csv.csv
2019-2020,American Samoa,Withdrawal by parent,07/01/2019 - 06/30/2020,1,0,0,x,0,1,0,x,1,1,0,1,data\data_file_10.csv.csv
2019-2020,Arizona,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,531,214,40,10,24,1,224,18,531,333,198,531,data\data_file_10.csv.csv
2019-2020,Arizona,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,270,97,9,10,11,0,134,9,270,164,106,270,data\data_file_10.csv.csv
2019-2020,Arizona,Deceased,07/01/2019 - 06/30/2020,31,11,3,0,0,1,16,0,31,17,14,31,data\data_file_10.csv.csv
2019-2020,Arizona,Moved out of state,07/01/2019 - 06/30/2020,193,34,2,8,10,1,131,7,193,120,73,193,data\data_file_10.csv.csv
2019-2020,Arizona,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,186,68,18,8,4,0,79,9,186,111,75,186,data\data_file_10.csv.csv
2019-2020,Arizona,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,137,40,7,1,7,0,79,3,137,96,41,137,data\data_file_10.csv.csv
2019-2020,Arizona,Part B eligibility not determined,07/01/2019 - 06/30/2020,618,263,32,12,30,1,266,14,618,408,210,618,data\data_file_10.csv.csv
2019-2020,Arizona,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Arizona,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,2646,1021,97,63,122,6,1244,93,2646,1813,833,2646,data\data_file_10.csv.csv
2019-2020,Arizona,Total number exiting,07/01/2019 - 06/30/2020,5520,2039,242,130,254,18,2655,182,5520,3577,1943,5520,data\data_file_10.csv.csv
2019-2020,Arizona,Withdrawal by parent,07/01/2019 - 06/30/2020,908,291,34,18,46,8,482,29,908,515,393,908,data\data_file_10.csv.csv
2019-2020,Arkansas,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,82,9,0,0,20,0,43,10,82,51,31,82,data\data_file_10.csv.csv
2019-2020,Arkansas,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,201,18,1,3,28,0,143,8,201,109,92,201,data\data_file_10.csv.csv
2019-2020,Arkansas,Deceased,07/01/2019 - 06/30/2020,4,0,0,0,1,0,3,0,4,1,3,4,data\data_file_10.csv.csv
2019-2020,Arkansas,Moved out of state,07/01/2019 - 06/30/2020,38,3,0,2,5,0,25,3,38,24,14,38,data\data_file_10.csv.csv
2019-2020,Arkansas,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,91,4,0,0,24,0,63,0,91,52,39,91,data\data_file_10.csv.csv
2019-2020,Arkansas,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,40,4,1,1,11,0,21,2,40,24,16,40,data\data_file_10.csv.csv
2019-2020,Arkansas,Part B eligibility not determined,07/01/2019 - 06/30/2020,154,17,0,2,44,2,81,8,154,101,53,154,data\data_file_10.csv.csv
2019-2020,Arkansas,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Arkansas,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,327,32,0,4,52,4,218,17,327,214,113,327,data\data_file_10.csv.csv
2019-2020,Arkansas,Total number exiting,07/01/2019 - 06/30/2020,1212,118,5,16,242,7,763,61,1212,747,465,1212,data\data_file_10.csv.csv
2019-2020,Arkansas,Withdrawal by parent,07/01/2019 - 06/30/2020,275,31,3,4,57,1,166,13,275,171,104,275,data\data_file_10.csv.csv
2019-2020,California,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,2387,1528,4,167,209,4,430,45,2387,1505,882,2387,data\data_file_10.csv.csv
2019-2020,California,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,3246,1531,12,335,114,2,846,406,3246,1834,1412,3246,data\data_file_10.csv.csv
2019-2020,California,Deceased,07/01/2019 - 06/30/2020,103,47,3,8,21,2,19,3,103,59,44,103,data\data_file_10.csv.csv
2019-2020,California,Moved out of state,07/01/2019 - 06/30/2020,818,306,3,81,57,2,346,23,818,535,283,818,data\data_file_10.csv.csv
2019-2020,California,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,2507,1601,5,219,107,3,529,43,2507,1567,940,2507,data\data_file_10.csv.csv
2019-2020,California,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,1328,754,7,131,34,1,358,43,1328,802,526,1328,data\data_file_10.csv.csv
2019-2020,California,Part B eligibility not determined,07/01/2019 - 06/30/2020,15023,9225,36,1457,789,23,3062,431,15023,9933,5090,15023,data\data_file_10.csv.csv
2019-2020,California,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,California,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,16779,9883,54,1611,799,30,3762,640,16779,11726,5053,16779,data\data_file_10.csv.csv
2019-2020,California,Total number exiting,07/01/2019 - 06/30/2020,46655,27156,145,4590,2337,99,10437,1891,46655,30649,16006,46655,data\data_file_10.csv.csv
2019-2020,California,Withdrawal by parent,07/01/2019 - 06/30/2020,4464,2281,21,581,207,32,1085,257,4464,2688,1776,4464,data\data_file_10.csv.csv
2019-2020,Colorado,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,441,184,3,11,42,1,175,25,441,286,155,441,data\data_file_10.csv.csv
2019-2020,Colorado,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_10.csv.csv
2019-2020,Colorado,Deceased,07/01/2019 - 06/30/2020,5,1,0,0,0,0,4,0,5,1,4,5,data\data_file_10.csv.csv
2019-2020,Colorado,Moved out of state,07/01/2019 - 06/30/2020,450,90,2,17,27,3,284,27,450,277,173,450,data\data_file_10.csv.csv
2019-2020,Colorado,Not eligible Part B - exit to other program,07/01/2019 - 06/30/2020,477,121,2,23,13,0,298,20,477,276,201,477,data\data_file_10.csv.csv
2019-2020,Colorado,Not eligible Part B - exit with no referrals,07/01/2019 - 06/30/2020,516,99,0,14,18,0,365,20,516,315,201,516,data\data_file_10.csv.csv
2019-2020,Colorado,Part B eligibility not determined,07/01/2019 - 06/30/2020,1423,453,8,48,68,5,778,63,1423,920,503,1423,data\data_file_10.csv.csv
2019-2020,Colorado,"Part B eligible, Continuing in Part C",07/01/2019 - 06/30/2020,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_10.csv.csv
2019-2020,Colorado,"Part B eligible, exiting Part C",07/01/2019 - 06/30/2020,3004,1002,15,90,138,11,1618,130,3004,2101,903,3004,data\data_file_10.csv.csv
2019-2020,Colorado,Total number exiting,07/01/2019 - 06/30/2020,8190,2426,36,257,364,25,4725,357,8190,5225,2965,8190,data\data_file_10.csv.csv
2019-2020,Colorado,Withdrawal by parent,07/01/2019 - 06/30/2020,1874,476,6,54,58,5,1203,72,1874,1049,825,1874,data\data_file_10.csv.csv
2019-2020,Connecticut,Attempts to contact unsuccessful,07/01/2019 - 06/30/2020,478,225,1,8,91,0,143,10,478,311,167,478,data\data_file_10.csv.csv
2019-2020,Connecticut,Completion of IFSP prior to max age,07/01/2019 - 06/30/2020,315,84,0,7,20,1,196,7,315,181,134,315,data\data_file_10.csv.csv
2019-2020,Connecticut,Deceased,07/01/2019 - 06/30/2020,8,1,0,2,1,0,4,0,8,1,7,8,data\data_file_10.csv.csv
2019-2020,Connecticut,Moved out of state,07/01/2019 - 06/30/2020,193,67,0,15,22,4,78,7,193,115,78,193,data\data_file_10.csv.csv
