School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,region
George C Wallace State Community College-Selma,0.1644,0.7805,0.0058,0.0155,0.0,0.0,0.0174,0.001,0.0155,0.3588,0.6412,2,1,5
Herzing University-Birmingham,0.3168,0.6,0.0212,0.0035,0.0053,0.0053,0.0319,0.0,0.0159,0.2124,0.7876,4,2,5
Huntingdon College,0.6832,0.1897,0.0497,0.006999999999999999,0.006999999999999999,0.0,0.0427,0.0,0.0209,0.4876,0.5124,3,2,5
Heritage Christian University,0.8136,0.0508,0.0678,0.0169,0.0,0.0,0.0339,0.0169,0.0,0.9661,0.0339,4,2,5
Heritage Christian University,0.8136,0.0508,0.0678,0.0169,0.0,0.0,0.0339,0.0169,0.0,0.9661,0.0339,4,2,5
Heritage Christian University,0.8136,0.0508,0.0678,0.0169,0.0,0.0,0.0339,0.0169,0.0,0.9661,0.0339,4,2,5
Heritage Christian University,0.8136,0.0508,0.0678,0.0169,0.0,0.0,0.0339,0.0169,0.0,0.9661,0.0339,4,2,5
J. F. Drake State Community and Technical College,0.2912,0.5516,0.0447,0.0077,0.0077,0.0015,0.0709,0.02,0.0046,0.4499,0.5501,2,1,5
J F Ingram State Technical College,0.4227,0.5567,0.0082,0.0021,0.0103,0.0,0.0,0.0,0.0,0.7485,0.2515,1,1,5
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0.0,0.0187,0.0635,0.4053,0.5947,4,1,5
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0.0,0.0187,0.0635,0.4053,0.5947,4,1,5
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0.0,0.0187,0.0635,0.4053,0.5947,4,1,5
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0.0,0.0187,0.0635,0.4053,0.5947,4,1,5
Jefferson State Community College,0.5858,0.2257,0.0643,0.0151,0.0024,0.0002,0.0327,0.0235,0.0502,0.3743,0.6257,2,1,5
Jefferson State Community College,0.5858,0.2257,0.0643,0.0151,0.0024,0.0002,0.0327,0.0235,0.0502,0.3743,0.6257,2,1,5
Jefferson State Community College,0.5858,0.2257,0.0643,0.0151,0.0024,0.0002,0.0327,0.0235,0.0502,0.3743,0.6257,2,1,5
