School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,first_gen,mhi,ms_degree,hs_degree,post_hs_ed,highest_degree,ownership
San Joaquin Valley College - Atascadero,,,,,,,,,,,,,,,,,0,3
Jesuit School of Theology of Santa Clara University,,,,,,,,,,,,,,,,,0,2
Thomas Aquinas College - New England,,,,,,,,,,,,,,,,,0,2
Wright Institute (The) -,,,,,,,,,,,,,,,,,0,2
Colorado Technical University-Denver,,,,,,,,,,,,,,,,,0,3
Denver Seminary - Washington DC,,,,,,,,,,,,,,,,,0,2
Otero Junior College - La Junta High School,,,,,,,,,,,,,,,,,0,1
Three Rivers Community College - Corrigan-Radgowski Correctional Cente,,,,,,,,,,,,,,,,,0,1
Three Rivers Community College - York Correctional Institution,,,,,,,,,,,,,,,,,0,1
Porter and Chester Institute of Rocky Hill,,,,,,,,,,,,,,,,,0,3
Porter and Chester Institute of Enfield,,,,,,,,,,,,,,,,,0,3
Porter and Chester Institute of Waterbury,,,,,,,,,,,,,,,,,0,3
Porter and Chester Institute of Worcester,,,,,,,,,,,,,,,,,0,3
Porter and Chester Institute - New London,,,,,,,,,,,,,,,,,0,3
Delaware Technical Community College-Owens,,,,,,,,,,,,,,,,,0,1
Delaware Technical Community College-Stanton/Wilmington,,,,,,,,,,,,,,,,,0,1
Barry University Law School,,,,,,,,,,,,,,,,,0,2
Keiser University-Melbourne,,,,,,,,,,,,,,,,,0,2
Keiser University-Tallahassee,,,,,,,,,,,,,,,,,0,2
Keiser University-Daytona,,,,,,,,,,,,,,,,,0,2
Keiser University-Lakeland,,,,,,,,,,,,,,,,,0,2
Keiser University- Miami,,,,,,,,,,,,,,,,,0,2
Keiser University-Orlando,,,,,,,,,,,,,,,,,0,2
Keiser University-Sarasota,,,,,,,,,,,,,,,,,0,2
Keiser University-Jacksonville,,,,,,,,,,,,,,,,,0,2
Keiser University-Tampa,,,,,,,,,,,,,,,,,0,2
Keiser University-Pembroke Pines,,,,,,,,,,,,,,,,,0,2
Keiser University-Port St Lucie,,,,,,,,,,,,,,,,,0,2
Keiser University-West Palm Beach,,,,,,,,,,,,,,,,,0,2
Keiser University-Ft Myers,,,,,,,,,,,,,,,,,0,2
Keiser University -  Clearwater,,,,,,,,,,,,,,,,,0,2
Keiser University - NPR,,,,,,,,,,,,,,,,,0,2
Keiser University - Residential,,,,,,,,,,,,,,,,,0,2
Maynard A. Traviss Technical College - Central Florida Aerospace Academy,,,,,,,,,,,,,,,,,0,1
Miami Lakes Educational Center and Technical College,0.1621,0.4012,0.4111,0.0069,0.0049,0.001,0.0128,0.0,0.0,0.8538,0.1462,,,,,,1,1
Rasmussen College-New Port Richey,,,,,,,,,,,,,,,,,0,3
Rasmussen College-Fort Myers,,,,,,,,,,,,,,,,,0,3
Rasmussen College-Tampa/Brandon,,,,,,,,,,,,,,,,,0,3
East Georgia State College - Statesboro,,,,,,,,,,,,,,,,,0,1
East Georgia State College - Augusta,,,,,,,,,,,,,,,,,0,1
Moody Bible Institute,0.5753,0.0544,0.0683,0.0315,0.0022,0.0022,0.0337,0.0782,0.1542,0.5209,0.4791,,,,,,4,2
Triton College - Intl Union of Operating Engr Local 399 Trning Fac.,,,,,,,,,,,,,,,,,0,1
PJ's College of Cosmetology- Brownsburg,,,,,,,,,,,,,,,,,0,3
PJ's College of Cosmetology- Jeffersonville,,,,,,,,,,,,,,,,,0,3
Ivy Tech Community College-Northcentral,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Columbus,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-East Central,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Kokomo,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Lafayette,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Northeast,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-South Central,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Southwest,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Wabash Valley,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Richmond,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Northwest,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Southeast,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Bloomington,,,,,,,,,,,,,,,,,0,1
Ivy Tech Community College-Central Indiana,,,,,,,,,,,,,,,,,0,1
Indiana Wesleyan University - Marion Design Co.,,,,,,,,,,,,,,,,,0,2
University of Notre Dame,0.6738,0.0363,0.1151,0.046,0.0021,0.001,0.0549,0.0611,0.0097,0.5212,0.4788,,,,,,4,2
Graceland University - Independence,,,,,,,,,,,,,,,,,0,2
Baker University School of Nursing,,,,,,,,,,,,,,,,,0,2
Coffeyville Technical Campus,,,,,,,,,,,,,,,,,0,1
Columbus Technical Campus,,,,,,,,,,,,,,,,,0,1
Old Town Barber College-Wichita,0.3373,0.4096,0.1566,0.0,0.012,0.0,0.0843,0.0,0.0,0.7711,0.2289,,,,,,1,3
PJ's College of Cosmetology- Greenfield,,,,,,,,,,,,,,,,,0,3
PJ's College of Cosmetology- Muncie,,,,,,,,,,,,,,,,,0,3
PJ's College of Cosmetology- Indianapolis,,,,,,,,,,,,,,,,,0,3
PJ's College of Cosmetology- Plainfield,,,,,,,,,,,,,,,,,0,3
PJ's College of Cosmetology- Louisville,,,,,,,,,,,,,,,,,0,3
Southeastern Louisiana University - EBR Parish School System Prof Dev,,,,,,,,,,,,,,,,,0,1
Southeastern Louisiana University - St Amant High School,,,,,,,,,,,,,,,,,0,1
Southeastern Louisiana University - Destrahan High School,,,,,,,,,,,,,,,,,0,1
Southeastern Louisiana University - Albert Cammon Middle School,,,,,,,,,,,,,,,,,0,1
Empire Beauty School-Bangor,,,,,,,,,,,,,,,,,0,3
Cecil College - Elkton Station,,,,,,,,,,,,,,,,,0,1
Hillsdale Beauty College,0.9091,0.0455,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1,3
Baker College of Auburn Hills,,,,,,,,,,,,,,,,,0,2
Baker College of Cadillac,,,,,,,,,,,,,,,,,0,2
Baker College of Jackson,,,,,,,,,,,,,,,,,0,2
Baker College of Muskegon,,,,,,,,,,,,,,,,,0,2
Davenport University-Warren Location,,,,,,,,,,,,,,,,,0,2
Davenport University-Kalamazoo Location,,,,,,,,,,,,,,,,,0,2
Davenport University-Lansing Location,,,,,,,,,,,,,,,,,0,2
Davenport University-Midland Location,,,,,,,,,,,,,,,,,0,2
Davenport University-Holland Location,,,,,,,,,,,,,,,,,0,2
Davenport University-Traverse City Location,,,,,,,,,,,,,,,,,0,2
Davenport University - Wayne CCCD,,,,,,,,,,,,,,,,,0,2
Davenport University - Detroit,,,,,,,,,,,,,,,,,0,2
Anoka-Ramsey Community College,0.6773,0.1183,0.066,0.0662,0.0063,0.0016,0.0521,0.0065,0.0057,0.3791,0.6209,,,,,,2,1
Central Lakes College-Staples Campus,,,,,,,,,,,,,,,,,0,1
M State - Detroit Lakes Campus,,,,,,,,,,,,,,,,,0,1
M State - Moorhead Campus,,,,,,,,,,,,,,,,,0,1
M State - Wadena Campus,,,,,,,,,,,,,,,,,0,1
South Central College-Faribault,,,,,,,,,,,,,,,,,0,1
Mayo Clinic College of Medicine and Science - Florida,,,,,,,,,,,,,,,,,0,2
Mayo Clinic College of Medicine and Science - Arizona,,,,,,,,,,,,,,,,,0,2
Mesabi Range College,0.7387,0.1088,0.0297,0.0014,0.0339,0.0014,0.0579,0.0028,0.0254,0.5056,0.4944,,,,,,2,1
Northland Community and Technical College - East Grand Forks,,,,,,,,,,,,,,,,,0,1
Rasmussen College-Bloomington,,,,,,,,,,,,,,,,,0,3
Rasmussen College-Eagan,,,,,,,,,,,,,,,,,0,3
Rasmussen College-Mankato,,,,,,,,,,,,,,,,,0,3
Rasmussen College-Brooklyn Park,,,,,,,,,,,,,,,,,0,3
Rasmussen College-Lake Elmo/Woodbury,,,,,,,,,,,,,,,,,0,3
Rasmussen College-Blaine,,,,,,,,,,,,,,,,,0,3
Minnesota State CollegeSoutheast-Red Wing Campus,,,,,,,,,,,,,,,,,0,1
Copiah-Lincoln Community College Simpson County Center,,,,,,,,,,,,,,,,,0,1
Copiah-Lincoln Community College-Natchez Campus,,,,,,,,,,,,,,,,,0,1
