School,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,student_count,students_with_any_loan,students_with_pell_grant,married,veteran,grad_students,undergrads_non_degree_seeking,full_program_cost,avg_month_completion,three_yrs_after_not_working_not_enrolled,three_yrs_after_working_not_enrolled,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
George C Wallace State Community College-Selma,3925.0,,5915.0,0.5182,0.0,,,,,,,495.0,,,,,2500.0,,36066.0,0.5845
Herzing University-Birmingham,,26680.0,6076.0,0.5862,0.7739,,,,,,15.0,6.0,,,,,,2.0,27754.0,0.5845
Huntingdon College,,21486.0,6678.0,0.464,0.7225,,,,,,,1.0,,,,,300.0,1.0,47975.5,0.5845
Heritage Christian University,,9990.0,4774.0,1.0,0.0392,,,,,,27.0,,,,,,1000.0,1.0,47975.5,0.5845
J. F. Drake State Community and Technical College,3589.0,,6418.0,0.4516,0.0,,,,,,,140.0,,,,,2000.0,,27754.0,0.5845
J F Ingram State Technical College,3008.0,,3205.0,0.9861,0.0,,,,,,,,,,,,612.0,,27754.0,0.5845
Jacksonville State University,15559.0,,7269.0,0.6903,0.61,,,,,,1272.0,1006.0,,,,,1204.0,1.0,47975.5,0.5845
Jefferson State Community College,9018.0,,6763.0,0.3255,0.2002,,,,,,,2163.0,,,,,2162.0,,36066.0,0.5845
John C Calhoun State Community College,5722.0,,6708.0,0.3319,0.2035,,,,,,,1587.0,,,,,2500.0,,27754.0,0.5845
Lawson State Community College,8039.0,,6691.0,0.4417,0.0,,,,,,,328.0,,,,,2300.0,,27754.0,0.5845
University of West Alabama,15514.0,,6481.0,0.4659,0.6007,,,,,,3414.0,4.0,,,,,1200.0,1.0,47975.5,0.5845
Lurleen B Wallace Community College,8165.0,,6175.0,0.6216,0.0,,,,,,,563.0,,,,,1192.0,,36066.0,0.5845
Marion Military Institute,10924.0,,6488.0,0.8077,0.4365,,,,,,,3.0,,,,,1800.0,1.0,36066.0,0.5845
Miles College,,14303.0,4903.0,0.6471,0.9129,,,,,,,4.0,,,,,250.0,,47975.5,0.5845
University of Mobile,,17122.0,5192.0,1.0,0.5304,,,,,,220.0,577.0,,,,,1800.0,1.0,47975.5,0.5845
University of Montevallo,16435.0,,7756.0,0.7034,0.5322,,,,,,317.0,36.0,,,,,1020.0,1.0,47975.5,0.5845
Northwest-Shoals Community College,7634.0,,6215.0,0.4894,0.1837,,,,,,,975.0,,,,,2000.0,,27754.0,0.5845
University of North Alabama,14130.0,,8336.0,1.0,0.5061,,,,,,1652.0,537.0,,,,,1500.0,1.0,47975.5,0.5845
Northeast Alabama Community College,3314.0,,6627.0,0.3224,0.0985,,,,,,,1006.0,,,,,2400.0,,27754.0,0.5845
Oakwood University,,24274.0,5218.0,0.7787,0.6806,,,,,,65.0,19.0,,,,,1500.0,1.0,47975.5,0.5845
Reid State Technical College,2899.0,,6698.0,0.383,0.0,,,,,,,162.0,,,,,1125.0,,27754.0,0.5845
Bishop State Community College,4976.0,,6561.0,0.5344,0.0,,,,,,,540.0,,,,,1500.0,,27754.0,0.5845
Samford University,,29673.0,9079.0,0.9826,0.3211,,,,,,2101.0,6.0,,,,,1000.0,5.0,47975.5,0.5845
Selma University,,9229.0,2702.0,1.0,0.9598,,,,,,13.0,,,,,,0.0,,47975.5,0.5845
Shelton State Community College,6217.0,,6798.0,0.4579,0.0,,,,,,,486.0,,,,,2000.0,,36066.0,0.5845
Snead State Community College,4945.0,,7543.0,0.2617,0.1991,,,,,,,492.0,,,,,2250.0,,36066.0,0.5845
University of South Alabama,15501.0,,7251.0,0.6219,0.5706,,,,,,4796.0,221.0,,,,,1300.0,1.0,47975.5,0.5845
Spring Hill College,,22221.0,6627.0,0.696,0.7823,,,,,,130.0,4.0,,,,,1500.0,5.0,47975.5,0.5845
Stillman College,,18352.0,4845.0,0.7193,0.7829,,,,,,,31.0,,,,,2034.0,2.0,47975.5,0.5845
Talladega College,,15661.0,5889.0,0.5059,0.7548,,,,,,9.0,61.0,,,,,1570.0,,47975.5,0.5845
H Councill Trenholm State Community College,6723.0,,6421.0,0.4853,0.0,,,,,,,301.0,,,,,1800.0,,27754.0,0.5845
Troy University,14285.0,,6657.0,0.4748,0.6328,,,,,,3441.0,400.0,,,,,1300.0,1.0,47975.5,0.5845
Tuskegee University,,34575.0,7224.0,0.8736,0.3614,,,,,,482.0,,,,,,1812.0,1.0,47975.5,0.5845
United States Sports Academy,,,5450.0,0.44,0.1213,,,,,,267.0,21.0,,,,,,,47975.5,0.5845
Bevill State Community College,8090.0,,6749.0,0.3066,0.0,,,,,,,1092.0,,,,,1400.0,,27754.0,0.5845
University of Alaska Anchorage,12995.0,,9124.0,0.5188,0.2131,,,,,,663.0,2846.0,,,,,1440.0,2.0,47975.5,0.5845
Alaska Bible College,,18217.0,2500.0,,0.2128,,,,,,,10.0,,,,,600.0,,47975.5,0.5845
University of Alaska Fairbanks,10333.0,,9658.0,0.6068,0.2145,,,,,,973.0,1796.0,,,,,2000.0,1.0,47975.5,0.5845
University of Alaska Southeast,11787.0,,8374.0,0.5625,0.1806,,,,,,264.0,730.0,,,,,1400.0,2.0,27754.0,0.5845
Alaska Pacific University,,18602.0,5769.0,0.4419,0.4751,,,,,,192.0,19.0,,,,,1200.0,3.0,47975.5,0.5845
Alaska Vocational Technical Center,8869.0,,,,0.1895,,,,,,,,8489.0,10.0,,,,,27754.0,0.5845
Charter College,,29523.0,4569.0,0.3439,0.6968,,,,,,,,,,,,0.0,,27754.0,0.5845
Alaska Career College,,16278.0,3591.0,0.2188,0.7091,,,,,,,,15895.0,10.0,,,,,27754.0,0.5845
Empire Beauty School-Tucson,,14496.0,,,0.513,,,,,,,,21950.0,12.0,,,,,27754.0,0.5845
Carrington College-Phoenix North,,22966.0,6222.0,0.3485,0.536,,,,,,,,15478.0,9.0,,,,,27754.0,0.5845
Arizona Academy of Beauty-East,,10676.0,,,0.5119,,,,,,,,18850.0,13.0,,,,,27754.0,0.5845
Platt College-Arizona Automotive Institute Arizona,,30504.0,,,0.5947,,,,,,,,20663.0,10.0,,,,,27754.0,0.5845
Brookline College-Phoenix,,32801.0,5567.0,1.0,0.6989,,,,,,14.0,,85000.0,30.0,,,,,27754.0,0.5845
Arizona State University Campus Immersion,11706.0,,11736.0,0.7887,0.3392,,,,,,8825.0,423.0,,,,,1171.0,1.0,47975.5,0.5845
Arizona Western College,10165.0,,6401.0,0.2985,0.0164,,,,,,,644.0,,,,,2000.0,,27754.0,0.5845
University of Arizona,15016.0,,11256.0,0.7567,0.3558,,,,,,10061.0,801.0,,,,,800.0,5.0,47975.5,0.5845
Central Arizona College,6260.0,,6629.0,1.0,0.0886,,,,,,,16.0,,,,,1600.0,,27754.0,0.5845
Charles of Italy Beauty College,,8348.0,,,0.6761,,,,,,,,15900.0,12.0,,,,,27754.0,0.5845
Cochise County Community College District,6228.0,,6365.0,0.4275,0.0632,,,,,,,285.0,,,,,1800.0,,36066.0,0.5845
Empire Beauty School-Chandler,,14866.0,,,0.5347,,,,,,,,21950.0,12.0,,,,,27754.0,0.5845
Avalon School of Cosmetology-Mesa,,15914.0,,,0.6306,,,,,,,,18660.0,14.0,,,,,27754.0,0.5845
Eastern Arizona College,6195.0,,7736.0,0.28,0.0,,,,,,,1385.0,,,,,992.0,,27754.0,0.5845
Embry-Riddle Aeronautical University-Prescott,,35396.0,9256.0,0.722,0.4376,,,,,,52.0,9.0,,,,,1400.0,5.0,47975.5,0.5845
The School of Architecture,,,3958.0,,,,,,,,23.0,,,,,,,,,0.5845
Glendale Community College,2416.0,,9500.0,0.3246,0.0198,,,,,,,1280.0,,,,,1972.0,,36066.0,0.5845
Grand Canyon University,,21020.0,6749.0,0.0812,0.5847,,,,,,37214.0,1368.0,,,,,800.0,2.0,47975.5,0.5845
Gateway Community and Technical College,6231.0,,5407.0,0.8764,0.2127,,,,,,,1800.0,,,,,1000.0,,27754.0,0.5845
Mesa Community College,9669.0,,9418.0,1.0,0.1161,,,,,,,4341.0,,,,,1464.0,,27754.0,0.5845
Mohave Community College,8986.0,,6551.0,0.2971,0.1078,,,,,,,1460.0,,,,,810.0,,27754.0,0.5845
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,,17837.0,,,0.5342,,,,,,,,20165.0,11.0,,,,,27754.0,0.5845
Dine College,11050.0,,5957.0,0.6154,0.0,,,,,,,86.0,,,,,1400.0,,36066.0,0.5845
Northern Arizona University,12915.0,,8431.0,0.663,0.424,,,,,,4222.0,376.0,,,,,1000.0,2.0,47975.5,0.5845
Northland Pioneer College,8749.0,,5583.0,0.5149,0.0,,,,,,,1720.0,,,,,1400.0,,27754.0,0.5845
Ottawa University-Phoenix,,,6603.0,0.7143,0.6657,,,,,,633.0,7.0,,,,,,,47975.5,0.5845
Carrington College-Phoenix North,,22966.0,6222.0,0.3485,0.536,,,,,,,,15478.0,9.0,,,,,27754.0,0.5845
Pima Community College,3583.0,,5425.0,0.257,0.1164,,,,,,,2371.0,,,,,1920.0,,27754.0,0.5845
Pima Medical Institute-Tucson,,,5896.0,0.5914,0.3641,,,,,,,,23426.0,19.0,,,,,27754.0,0.5845
Prescott College,,18798.0,5095.0,0.3696,0.5351,,,,,,490.0,38.0,,,,,982.0,5.0,47975.5,0.5845
Refrigeration School Inc,,21695.0,4308.0,0.8571,0.7152,,,,,,,,21578.0,10.0,,,,,27754.0,0.5845
Rio Salado College,9320.0,,7739.0,1.0,0.082,,,,,,,13274.0,,,,,1464.0,,27754.0,0.5845
Roberto-Venn School of Luthiery,,22849.0,,,0.4706,,,,,,,,13950.0,5.0,,,,,27754.0,0.5845
Scottsdale Community College,10397.0,,9249.0,1.0,0.0865,,,,,,,2914.0,,,,,1464.0,,36066.0,0.5845
South Mountain Community College,8566.0,,9280.0,1.0,0.1043,,,,,,,1203.0,,,,,1464.0,,36066.0,0.5845
Arizona Christian University,,21374.0,5377.0,0.186,0.5696,,,,,,,67.0,,,,,1400.0,1.0,47975.5,0.5845
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,,17837.0,,,0.5342,,,,,,,,20165.0,11.0,,,,,27754.0,0.5845
Yavapai College,6965.0,,7401.0,0.3495,0.0745,,,,,,,3038.0,,,,,1600.0,,27754.0,0.5845
University of Arkansas at Little Rock,14906.0,,6908.0,0.9704,0.4329,,,,,,2461.0,1220.0,,,,,1500.0,1.0,47975.5,0.5845
University of Arkansas for Medical Sciences,,,9354.0,0.8471,0.6007,,,,,,2102.0,17.0,,,,,,,47975.5,0.5845
Arkansas Baptist College,,19029.0,4367.0,0.3953,0.8362,,,,,,,,,,,,1000.0,,47975.5,0.5845
Arkansas Beauty School-Little Rock,,19639.0,,,0.2585,,,,,,,,21805.0,10.0,,,,,27754.0,0.5845
Arkansas Beauty College,,10004.0,,,0.6207,,,,,,,,15675.0,13.0,,,,,27754.0,0.5845
Lyon College,,15447.0,6577.0,1.0,0.6122,,,,,,,12.0,,,,,1500.0,1.0,47975.5,0.5845
Arkansas College of Barbering and Hair Design,,,,,0.3048,,,,,,,,21453.0,10.0,,,,,27754.0,0.5845
Arthur's Beauty College,,11431.0,,,0.6038,,,,,,,,16145.0,13.0,,,,,27754.0,0.5845
Arkansas State University-Newport,8337.0,,4876.0,0.4847,0.163,,,,,,,817.0,,,,,548.0,,27754.0,0.5845
University of Arkansas at Pine Bluff,12320.0,,5807.0,0.8133,0.6688,,,,,,116.0,49.0,,,,,1000.0,1.0,47975.5,0.5845
Arkansas State University-Beebe,8899.0,,5053.0,0.5492,0.1413,,,,,,,950.0,,,,,1000.0,,27754.0,0.5845
Arkansas State University-Newport,8337.0,,4876.0,0.4847,0.163,,,,,,,817.0,,,,,548.0,,27754.0,0.5845
Arkansas Tech University,10772.0,,6868.0,0.9946,0.3628,,,,,,814.0,3085.0,,,,,1240.0,2.0,47975.5,0.5845
University of Arkansas at Monticello,12136.0,,5765.0,1.0,0.4569,,,,,,331.0,409.0,,,,,1200.0,,27754.0,0.5845
Arthur's Beauty College,,11431.0,,,0.6038,,,,,,,,16145.0,13.0,,,,,27754.0,0.5845
Baptist Health College Little Rock,,23568.0,6220.0,0.6883,0.841,,,,,,,,,,,,2525.0,1.0,36066.0,0.5845
Black River Technical College,7690.0,,4233.0,0.5517,0.1909,,,,,,,317.0,,,,,2565.0,,27754.0,0.5845
University of Central Arkansas,15376.0,,7121.0,0.7652,0.4714,,,,,,1735.0,577.0,,,,,1200.0,1.0,47975.5,0.5845
Central Baptist College,,16619.0,5304.0,0.2667,0.6011,,,,,,,66.0,,,,,1350.0,1.0,47975.5,0.5845
Cossatot Community College of the University of Arkansas,4677.0,,5350.0,0.4937,0.0,,,,,,,540.0,,,,,240.0,,27754.0,0.5845
Crowley's Ridge College,,13796.0,4005.0,0.9474,0.731,,,,,,,25.0,,,,,600.0,,47975.5,0.5845
East Arkansas Community College,6290.0,,5211.0,0.5111,0.0521,,,,,,,560.0,,,,,2200.0,,27754.0,0.5845
Eastern College of Health Vocations-Little Rock,,12646.0,,,0.8658,,,,,,,,10700.0,10.0,,,,,27754.0,0.5845
