School,enrolled,over_25,over_23,independent,dependent,unemployment,median_family_income,poverty_rate,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_writing,sat_mid_overall,region
George C Wallace State Community College-Selma,,0.1936,,,,,,,,,,,,5
Herzing University-Birmingham,,0.7513,,,,,,,0.7826,,,,,5
Huntingdon College,,0.1419,,,,,,,0.5929,563.0,545.0,,1076.0,5
Heritage Christian University,,0.6102,,,,,,,0.2353,,,,,5
J. F. Drake State Community and Technical College,,0.4563,,,,,,,,,,,,5
J F Ingram State Technical College,,0.8433,,,,,,,,,,,,5
Jacksonville State University,,0.1376,,,,,,,0.5479,535.0,510.0,,1084.0,5
Jefferson State Community College,,0.2568,,,,,,,,,,,,5
John C Calhoun State Community College,,0.2911,,,,,,,,,,,,5
Lawson State Community College,,0.2785,,,,,,,,,,,,5
University of West Alabama,,0.2675,,,,,,,0.3493,480.0,460.0,,1041.0,5
Lurleen B Wallace Community College,,0.1534,,,,,,,,,,,,5
Marion Military Institute,,0.0024,,,,,,,0.5761,605.0,595.0,,1147.0,5
Miles College,,0.1298,,,,,,,,,,,,5
University of Mobile,,0.1023,,,,,,,0.4566,565.0,520.0,,1166.0,5
University of Montevallo,,0.072,,,,,,,0.532,570.0,565.0,,1135.0,5
Northwest-Shoals Community College,,0.1814,,,,,,,,,,,,5
University of North Alabama,,0.1397,,,,,,,0.8878,565.0,533.0,,1148.0,5
Northeast Alabama Community College,,0.1852,,,,,,,,,,,,5
Oakwood University,,0.1102,,,,,,,0.6473,514.0,467.0,,1010.0,5
Reid State Technical College,,0.3742,,,,,,,,,,,,5
Bishop State Community College,,0.2952,,,,,,,,,,,,5
Samford University,,0.0248,,,,,,,0.8331,595.0,565.0,,1223.0,5
Selma University,,0.5613,,,,,,,,,,,,5
Shelton State Community College,,0.2035,,,,,,,,,,,,5
Snead State Community College,,0.1998,,,,,,,,,,,,5
University of South Alabama,,0.1379,,,,,,,0.7869,570.0,555.0,,1166.0,5
Spring Hill College,,0.0259,,,,,,,0.4978,560.0,553.0,,1131.0,5
Stillman College,,0.1452,,,,,,,0.3296,,,,,5
Talladega College,,0.1016,,,,,,,,,,,,5
H Councill Trenholm State Community College,,0.3168,,,,,,,,,,,,5
Troy University,,0.2847,,,,,,,0.8757,510.0,500.0,,1079.0,5
Tuskegee University,,0.033,,,,,,,0.5173,509.0,480.0,,1029.0,5
United States Sports Academy,,0.7931,,,,,,,,,,,,5
Bevill State Community College,,0.2173,,,,,,,,,,,,5
University of Alaska Anchorage,,0.4101,,,,,,,0.8296,,,,,8
Alaska Bible College,,0.25,,,,,,,,,,,,8
University of Alaska Fairbanks,,0.4797,,,,,,,0.7599,585.0,570.0,,1121.0,8
University of Alaska Southeast,,0.5467,,,,,,,0.6057,,,,,8
Alaska Pacific University,,0.4629,,,,,,,0.8924,,,,,8
Alaska Vocational Technical Center,,0.7211,,,,,,,,,,,,8
Charter College,,0.5901,,,,,,,,,,,,8
Alaska Career College,,0.5291,,,,,,,,,,,,8
Empire Beauty School-Tucson,,0.4151,,,,,,,,,,,,6
Carrington College-Phoenix North,,0.4915,,,,,,,,,,,,6
Arizona Academy of Beauty-East,,0.625,,,,,,,,,,,,6
Platt College-Arizona Automotive Institute Arizona,,0.6143,,,,,,,,,,,,6
Brookline College-Phoenix,,0.7314,,,,,,,,,,,,6
Arizona State University Campus Immersion,,0.0877,,,,,,,0.8647,615.0,625.0,,1230.0,6
Arizona Western College,,0.2392,,,,,,,,,,,,6
University of Arizona,,0.1113,,,,,,,0.8459,615.0,620.0,,1228.0,6
Central Arizona College,,0.3603,,,,,,,,,,,,6
Charles of Italy Beauty College,,0.431,,,,,,,,,,,,6
Cochise County Community College District,,0.4248,,,,,,,,,,,,6
Empire Beauty School-Chandler,,0.5254,,,,,,,,,,,,6
Avalon School of Cosmetology-Mesa,,0.3486,,,,,,,,,,,,6
Eastern Arizona College,,0.5673,,,,,,,,,,,,6
Embry-Riddle Aeronautical University-Prescott,,0.0722,,,,,,,0.657,,,,,6
The School of Architecture,,,,,,,,,,,,,,6
Glendale Community College,,0.3953,,,,,,,,,,,,8
Grand Canyon University,,0.569,,,,,,,0.7694,,,,,6
Gateway Community and Technical College,,0.3496,,,,,,,,,,,,5
Mesa Community College,,0.3347,,,,,,,,,,,,6
Mohave Community College,,0.4292,,,,,,,,,,,,6
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,,0.5333,,,,,,,,,,,,6
Dine College,,0.4593,,,,,,,,,,,,6
Northern Arizona University,,0.1735,,,,,,,0.8489,,,,,6
Northland Pioneer College,,0.3218,,,,,,,,,,,,6
Ottawa University-Phoenix,,0.8256,,,,,,,,,,,,6
Carrington College-Phoenix North,,0.4915,,,,,,,,,,,,6
