School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
George C Wallace State Community College-Selma,0.1644,0.7805,0.0058,0.0155,0,0,0.0174,0.001,0.0155,0.3588,0.6412,2,1,0.1936,,,,,5,3925,,5915,0.5182,0,,495,2500,,36066,0.5845
Herzing University-Birmingham,0.3168,0.6,0.0212,0.0035,0.0053,0.0053,0.0319,0,0.0159,0.2124,0.7876,4,2,0.7513,0.7826,,,,5,,26680,6076,0.5862,0.7739,15,6,,2,27754,0.5845
Huntingdon College,0.6832,0.1897,0.0497,0.007,0.007,0,0.0427,0,0.0209,0.4876,0.5124,3,2,0.1419,0.5929,563,545,1076,5,,21486,6678,0.464,0.7225,,1,300,1,47975.5,0.5845
Heritage Christian University,0.8136,0.0508,0.0678,0.0169,0,0,0.0339,0.0169,0,0.9661,0.0339,4,2,0.6102,0.2353,,,,5,,9990,4774,1,0.0392,27,,1000,1,47975.5,0.5845
J. F. Drake State Community and Technical College,0.2912,0.5516,0.0447,0.0077,0.0077,0.0015,0.0709,0.02,0.0046,0.4499,0.5501,2,1,0.4563,,,,,5,3589,,6418,0.4516,0,,140,2000,,27754,0.5845
J F Ingram State Technical College,0.4227,0.5567,0.0082,0.0021,0.0103,0,0,0,0,0.7485,0.2515,1,1,0.8433,,,,,5,3008,,3205,0.9861,0,,,612,,27754,0.5845
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0,0.0187,0.0635,0.4053,0.5947,4,1,0.1376,0.5479,535,510,1084,5,15559,,7269,0.6903,0.61,1272,1006,1204,1,47975.5,0.5845
Jefferson State Community College,0.5858,0.2257,0.0643,0.0151,0.0024,0.0002,0.0327,0.0235,0.0502,0.3743,0.6257,2,1,0.2568,,,,,5,9018,,6763,0.3255,0.2002,,2163,2162,,36066,0.5845
John C Calhoun State Community College,0.6219,0.1689,0.0705,0.0228,0.0122,0.0012,0.0615,0.011,0.0302,0.462,0.538,2,1,0.2911,,,,,5,5722,,6708,0.3319,0.2035,,1587,2500,,27754,0.5845
Lawson State Community College,0.1398,0.8031,0.0282,0.0039,0.0026,0.0007,0.0138,0.0039,0.0039,0.381,0.619,2,1,0.2785,,,,,5,8039,,6691,0.4417,0,,328,2300,,27754,0.5845
University of West Alabama,0.4528,0.4076,0.0157,0.0031,0.0049,0.0004,0.0228,0.0403,0.0523,0.3946,0.6054,4,1,0.2675,0.3493,480,460,1041,5,15514,,6481,0.4659,0.6007,3414,4,1200,1,47975.5,0.5845
Lurleen B Wallace Community College,0.6836,0.2508,0.0216,0.0033,0.005,0,0.0316,0.0008,0.0033,0.3522,0.6478,2,1,0.1534,,,,,5,8165,,6175,0.6216,0,,563,1192,,36066,0.5845
Marion Military Institute,0.633,0.2044,0.0739,0.032,0.0099,0.0074,0.0394,0,0,0.7291,0.2709,2,1,0.0024,0.5761,605,595,1147,5,10924,,6488,0.8077,0.4365,,3,1800,1,36066,0.5845
Miles College,0.0372,0.9311,0.0103,0.0007,0.0007,0,0.0165,0,0.0034,0.5021,0.4979,3,2,0.1298,,,,,5,,14303,4903,0.6471,0.9129,,4,250,,47975.5,0.5845
University of Mobile,0.6753,0.1644,0.0126,0.0193,0.0193,0.0042,0.0252,0.0352,0.0445,0.3532,0.6468,4,2,0.1023,0.4566,565,520,1166,5,,17122,5192,1,0.5304,220,577,1800,1,47975.5,0.5845
University of Montevallo,0.6845,0.1627,0.0518,0.0086,0.0027,0.0018,0.0409,0.0295,0.0173,0.3473,0.6527,4,1,0.072,0.532,570,565,1135,5,16435,,7756,0.7034,0.5322,317,36,1020,1,47975.5,0.5845
Northwest-Shoals Community College,0.7107,0.123,0.0713,0.0059,0.0071,0.0004,0.0556,0.0106,0.0154,0.3524,0.6476,2,1,0.1814,,,,,5,7634,,6215,0.4894,0.1837,,975,2000,,27754,0.5845
University of North Alabama,0.7422,0.1324,0.0327,0.0078,0.006,0.0007,0.031,0.0414,0.0058,0.3873,0.6127,4,1,0.1397,0.8878,565,533,1148,5,14130,,8336,1,0.5061,1652,537,1500,1,47975.5,0.5845
Northeast Alabama Community College,0.8035,0.0213,0.121,0.0051,0.0248,0.0015,0.0223,0.0005,0,0.3727,0.6273,2,1,0.1852,,,,,5,3314,,6627,0.3224,0.0985,,1006,2400,,27754,0.5845
Oakwood University,0.0035,0.8044,0.0513,0.0035,0.0236,0,0,0.0742,0.0395,0.4209,0.5791,4,2,0.1102,0.6473,514,467,1010,5,,24274,5218,0.7787,0.6806,65,19,1500,1,47975.5,0.5845
Reid State Technical College,0.3211,0.6575,0.0061,0,0.0061,0,0.0092,0,0,0.2966,0.7034,2,1,0.3742,,,,,5,2899,,6698,0.383,0,,162,1125,,27754,0.5845
Bishop State Community College,0.2376,0.6748,0.026,0.0173,0.0074,0.0009,0.0186,0.0143,0.003,0.3703,0.6297,2,1,0.2952,,,,,5,4976,,6561,0.5344,0,,540,1500,,27754,0.5845
Samford University,0.8502,0.0667,0.0326,0.0103,0.002,0.0003,0.0232,0.0117,0.0031,0.3336,0.6664,4,2,0.0248,0.8331,595,565,1223,5,,29673,9079,0.9826,0.3211,2101,6,1000,5,47975.5,0.5845
Selma University,0.0161,0.9742,0.0097,0,0,0,0,0,0,0.4323,0.5677,4,2,0.5613,,,,,5,,9229,2702,1,0.9598,13,,0,,47975.5,0.5845
Shelton State Community College,0.5354,0.3655,0.0366,0.0062,0.0035,0,0.025,0.0054,0.0223,0.4369,0.5631,2,1,0.2035,,,,,5,6217,,6798,0.4579,0,,486,2000,,36066,0.5845
Snead State Community College,0.647,0.0802,0.1754,0.0069,0.0097,0.0011,0.0372,0.0011,0.0413,0.3943,0.6057,2,1,0.1998,,,,,5,4945,,7543,0.2617,0.1991,,492,2250,,36066,0.5845
University of South Alabama,0.6109,0.2213,0.0413,0.0317,0.0066,0.0011,0.0392,0.021,0.027,0.4029,0.5971,4,1,0.1379,0.7869,570,555,1166,5,15501,,7251,0.6219,0.5706,4796,221,1300,1,47975.5,0.5845
