School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,admissions_rate,sat_mid_overall,region
Huntingdon College,0.6832,0.1897,0.0497,0.006999999999999999,0.006999999999999999,0.0,0.0427,0.0,0.0209,0.4876,0.5124,3,2,0.5929,1076.0,5
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0.0,0.0187,0.0635,0.4053,0.5947,4,1,0.5479,1084.0,5
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0.0,0.0187,0.0635,0.4053,0.5947,4,1,0.5479,1084.0,5
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0.0,0.0187,0.0635,0.4053,0.5947,4,1,0.5479,1084.0,5
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0.0,0.0187,0.0635,0.4053,0.5947,4,1,0.5479,1084.0,5
University of West Alabama,0.4528,0.4076,0.0157,0.0031,0.0049,0.0004,0.0228,0.0403,0.0523,0.3946,0.6054,4,1,0.3493,1041.0,5
Marion Military Institute,0.633,0.2044,0.0739,0.032,0.0099,0.0074,0.0394,0.0,0.0,0.7291,0.2709,2,1,0.5761,1147.0,5
University of Mobile,0.6753,0.1644,0.0126,0.0193,0.0193,0.0042,0.0252,0.0352,0.0445,0.3532,0.6468,4,2,0.4566,1166.0,5
University of Montevallo,0.6845,0.1627,0.0518,0.0086,0.0027,0.0018,0.0409,0.0295,0.0173,0.3473,0.6527,4,1,0.532,1135.0,5
University of North Alabama,0.7422,0.1324,0.0327,0.0078,0.006,0.0007,0.031,0.0414,0.0058,0.3873,0.6127,4,1,0.8878,1148.0,5
Oakwood University,0.0035,0.8044,0.0513,0.0035,0.0236,0.0,0.0,0.0742,0.0395,0.4209,0.5791,4,2,0.6473,1010.0,5
Samford University,0.8502,0.0667,0.0326,0.0103,0.002,0.0003,0.0232,0.0117,0.0031,0.3336,0.6664,4,2,0.8331,1223.0,5
University of South Alabama,0.6109,0.2213,0.0413,0.0317,0.0066,0.0011,0.0392,0.021,0.027000000000000003,0.4029,0.5971,4,1,0.7869,1166.0,5
Spring Hill College,0.6791,0.141,0.0363,0.013,0.0026,0.0026,0.0285,0.045,0.0519,0.3763,0.6237,4,2,0.4978,1131.0,5
