Age,Race,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
18 to 24 years,Hispanic,Female,3219,6,4,22,20,39,80,406,958,1215,90,130,240,7,0,2
25 to 29 years,Hispanic,Female,2233,0,19,31,32,55,69,132,643,495,114,143,389,88,7,16
30 to 34 years,Hispanic,Female,2125,9,19,87,74,109,45,104,625,402,85,113,318,117,4,13
35 to 39 years,Hispanic,Female,2098,13,27,113,72,141,59,115,619,315,86,105,282,127,14,9
40 to 44 years,Hispanic,Female,1966,17,35,136,106,116,48,89,581,244,71,104,276,113,11,19
45 to 49 years,Hispanic,Female,1796,12,53,148,90,107,36,123,526,216,65,91,234,68,11,16
50 to 54 years,Hispanic,Female,1574,21,42,127,54,54,54,82,458,235,60,115,184,72,5,10
55 to 59 years,Hispanic,Female,1342,21,59,107,70,64,35,69,416,171,37,70,156,50,2,16
60 to 64 years,Hispanic,Female,1032,15,63,106,63,42,31,48,309,120,27,55,95,46,3,8
65 to 69 years,Hispanic,Female,857,19,54,93,60,35,26,56,229,115,26,35,81,13,8,7
70 to 74 years,Hispanic,Female,549,12,53,69,25,24,16,26,158,55,27,21,40,21,0,2
75 years and over,Hispanic,Female,894,53,86,111,82,38,22,41,236,85,18,13,75,21,5,7
18 to 24 years,Hispanic,Male,3292,10,18,45,43,54,84,497,1207,1064,63,78,121,8,0,0
25 to 29 years,Hispanic,Male,2406,6,43,64,57,50,78,168,904,507,66,104,292,56,9,3
30 to 34 years,Hispanic,Male,2280,23,38,99,69,88,62,154,781,372,68,114,330,62,7,13
35 to 39 years,Hispanic,Male,2224,16,55,191,116,107,62,136,785,280,79,102,218,70,2,6
40 to 44 years,Hispanic,Male,1945,17,67,162,105,108,63,134,625,230,55,76,209,70,8,17
45 to 49 years,Hispanic,Male,1764,15,53,144,82,118,30,132,610,191,61,51,184,62,13,18
50 to 54 years,Hispanic,Male,1598,25,71,133,61,84,52,110,502,195,54,66,170,62,1,11
55 to 59 years,Hispanic,Male,1253,21,32,127,58,72,53,63,371,179,26,51,141,43,5,10
60 to 64 years,Hispanic,Male,969,29,64,112,35,32,32,56,248,123,23,32,124,38,12,7
65 to 69 years,Hispanic,Male,716,10,44,70,47,32,26,37,202,76,18,24,84,28,9,11
70 to 74 years,Hispanic,Male,417,9,32,32,30,24,2,13,129,50,13,10,43,20,2,6
75 years and over,Hispanic,Male,623,31,70,82,53,32,20,17,171,44,8,16,46,19,9,6
18 to 24 years,Asian,Male,914,3,5,3,3,0,9,62,156,482,12,18,146,15,0,0
25 to 29 years,Asian,Male,877,0,0,0,3,2,5,10,143,146,14,44,290,181,13,26
30 to 34 years,Asian,Male,762,0,8,2,6,5,2,5,117,79,16,30,236,194,19,44
35 to 39 years,Asian,Male,679,0,3,3,5,12,4,12,114,53,14,30,208,164,13,44
40 to 44 years,Asian,Male,707,0,6,0,11,2,2,16,96,66,10,19,220,187,13,58
45 to 49 years,Asian,Male,661,3,2,4,6,4,2,9,141,70,18,20,200,117,18,46
50 to 54 years,Asian,Male,546,4,1,8,9,6,7,9,117,49,13,26,109,124,14,51
55 to 59 years,Asian,Male,538,4,5,12,3,3,10,15,114,59,8,26,150,80,12,36
60 to 64 years,Asian,Male,422,7,3,9,13,0,12,13,104,41,7,12,115,47,14,26
65 to 69 years,Asian,Male,364,4,4,16,10,5,3,13,95,38,3,16,89,42,10,15
70 to 74 years,Asian,Male,244,2,5,11,7,7,3,5,70,19,4,10,61,21,4,16
75 years and over,Asian,Male,360,4,10,10,5,5,8,10,101,38,7,5,92,34,7,24
18 to 24 years,Asian,Female,907,5,4,0,2,9,21,68,135,444,19,23,135,27,9,6
25 to 29 years,Asian,Female,831,0,7,5,8,2,7,5,105,81,19,44,335,180,17,16
30 to 34 years,Asian,Female,855,3,5,2,15,1,3,14,113,76,23,43,305,184,17,49
35 to 39 years,Asian,Female,828,6,2,2,4,4,11,10,123,62,14,24,297,213,23,32
40 to 44 years,Asian,Female,769,3,2,5,7,6,7,21,107,49,21,55,261,159,22,43
45 to 49 years,Asian,Female,720,6,1,14,10,5,5,6,165,57,21,29,229,130,15,28
50 to 54 years,Asian,Female,668,6,5,6,13,8,1,7,196,67,13,42,180,89,12,22
55 to 59 years,Asian,Female,585,12,8,18,7,10,11,12,137,55,11,30,187,58,14,16
60 to 64 years,Asian,Female,527,3,8,25,22,5,11,8,142,55,5,39,159,33,4,6
65 to 69 years,Asian,Female,413,4,10,31,15,4,4,16,118,29,6,15,125,25,6,3
70 to 74 years,Asian,Female,303,10,15,12,20,8,8,6,64,21,9,8,81,30,2,9
75 years and over,Asian,Female,525,21,27,39,31,10,20,10,187,34,7,15,86,30,2,5
18 to 24 years,Black,Male,2140,3,4,5,15,22,73,273,798,719,33,67,114,12,0,0
25 to 29 years,Black,Male,1657,0,11,14,9,15,24,73,603,449,53,69,276,52,3,7
30 to 34 years,Black,Male,1360,0,4,4,1,16,50,71,402,325,57,116,217,75,9,13
35 to 39 years,Black,Male,1256,7,0,4,5,26,34,56,449,210,62,69,241,85,3,3
40 to 44 years,Black,Male,1146,3,3,5,8,12,17,65,377,247,49,69,206,68,0,15
45 to 49 years,Black,Male,1193,2,3,8,10,12,27,56,434,206,60,75,190,96,0,13
50 to 54 years,Black,Male,1240,7,3,3,12,19,36,71,531,223,39,64,144,53,19,16
55 to 59 years,Black,Male,1185,7,0,7,18,15,37,78,500,182,37,58,169,47,10,18
60 to 64 years,Black,Male,1003,6,5,9,7,20,21,65,374,181,41,54,126,66,8,19
65 to 69 years,Black,Male,759,2,16,14,33,12,27,62,262,115,34,24,83,60,4,11
70 to 74 years,Black,Male,497,2,10,11,33,11,19,35,164,74,13,20,62,24,5,15
75 years and over,Black,Male,602,10,16,31,46,27,48,38,176,85,6,18,62,32,2,6
18 to 24 years,Black,Female,2252,7,1,3,5,24,59,280,728,815,47,81,184,14,3,1
25 to 29 years,Black,Female,1777,1,2,0,4,10,19,97,583,429,95,111,305,84,25,11
30 to 34 years,Black,Female,1561,9,0,3,9,12,13,54,420,408,89,105,267,143,18,13
35 to 39 years,Black,Female,1521,3,1,1,2,16,18,67,404,326,70,108,280,198,18,9
40 to 44 years,Black,Female,1390,3,3,7,16,18,25,45,380,257,95,103,261,143,14,21
45 to 49 years,Black,Female,1446,4,0,9,14,16,20,53,396,296,62,118,234,183,16,26
50 to 54 years,Black,Female,1472,7,4,4,14,14,34,74,450,310,43,121,248,124,11,14
55 to 59 years,Black,Female,1441,5,0,13,7,22,29,76,496,315,75,89,198,80,10,28
60 to 64 years,Black,Female,1246,4,5,20,36,22,40,84,418,214,42,93,158,87,6,17
65 to 69 years,Black,Female,1016,5,4,13,24,29,28,70,351,236,28,37,120,60,4,6
70 to 74 years,Black,Female,674,5,8,13,21,14,40,58,223,113,36,42,58,37,2,4
75 years and over,Black,Female,1013,24,12,36,73,44,67,87,329,122,26,32,97,46,4,12
18 to 24 years,White,Male,10979,17,30,43,101,88,233,1413,3658,3749,251,322,1025,40,6,4
25 to 29 years,White,Male,8449,13,31,61,75,87,152,329,2524,1634,333,492,2123,459,71,65
30 to 34 years,White,Male,8144,19,32,96,99,108,108,260,2409,1337,322,468,1960,605,156,164
35 to 39 years,White,Male,7978,8,62,179,143,141,127,233,2266,1221,382,433,1829,667,105,183
40 to 44 years,White,Male,7273,18,57,165,130,131,102,236,1932,1083,407,399,1648,677,137,151
45 to 49 years,White,Male,8019,13,43,148,117,150,130,261,2441,1258,326,397,1723,738,121,152
50 to 54 years,White,Male,8381,33,74,136,126,134,151,267,2739,1231,392,436,1701,695,110,156
55 to 59 years,White,Male,8598,22,44,144,108,117,140,258,2932,1364,437,449,1653,609,167,155
60 to 64 years,White,Male,7525,34,62,134,77,91,111,177,2233,1332,383,378,1437,738,167,169
65 to 69 years,White,Male,6621,12,43,103,88,87,100,141,1707,1070,335,325,1497,699,190,223
70 to 74 years,White,Male,4913,18,40,54,140,90,106,98,1332,755,165,211,1041,551,155,158
75 years and over,White,Male,7397,47,95,110,309,171,185,215,2341,1128,228,257,1281,617,165,248
18 to 24 years,White,Female,10641,15,17,23,46,77,168,1092,2700,4180,289,517,1413,90,8,8
25 to 29 years,White,Female,8218,4,19,32,66,97,114,189,1832,1524,365,635,2511,675,68,90
30 to 34 years,White,Female,7958,11,22,80,98,139,89,185,1700,1286,352,552,2222,930,125,167
35 to 39 years,White,Female,7760,24,32,109,110,171,110,208,1620,1173,341,570,1980,1040,120,151
40 to 44 years,White,Female,7308,17,32,136,120,121,95,172,1545,1077,339,519,1906,977,123,132
45 to 49 years,White,Female,8046,15,50,141,111,133,78,211,2003,1160,399,627,1947,893,144,134
50 to 54 years,White,Female,8500,24,43,127,85,124,121,204,2346,1364,496,735,1781,824,95,132
55 to 59 years,White,Female,8964,21,67,111,108,88,111,223,2767,1437,443,738,1814,828,117,90
60 to 64 years,White,Female,8303,15,64,114,102,84,102,191,2466,1475,390,597,1608,870,112,113
65 to 69 years,White,Female,7248,28,64,108,100,91,103,173,2197,1252,366,441,1332,799,95,99
70 to 74 years,White,Female,5590,16,55,89,89,64,92,158,1920,917,276,273,978,570,30,64
75 years and over,White,Female,9854,44,127,173,340,167,271,436,3959,1603,324,401,1264,576,70,100
18 to 24 years,White,Male,10953,19,30,45,70,83,241,1425,3683,3701,282,341,965,39,19,12
25 to 29 years,White,Male,8651,19,13,77,89,122,110,286,2603,1664,360,406,2342,388,85,87
30 to 34 years,White,Male,8197,19,32,114,92,136,110,288,2287,1239,406,452,2143,582,112,184
35 to 39 years,White,Male,8131,26,44,141,112,154,120,283,2203,1228,380,416,1974,773,115,163
40 to 44 years,White,Male,7296,33,48,137,126,115,125,205,2045,1074,390,375,1683,698,98,143
45 to 49 years,White,Male,7940,20,54,107,121,111,118,257,2337,1201,382,416,1725,787,144,161
50 to 54 years,White,Male,8170,19,45,145,130,127,145,247,2535,1226,375,397,1778,683,123,194
55 to 59 years,White,Male,8583,24,61,142,149,117,129,297,2785,1327,419,453,1748,626,147,161
60 to 64 years,White,Male,7662,21,39,130,103,86,81,217,2303,1317,351,377,1551,705,183,197
