Age,Race,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
18 to 24 years,Asian,Female,881,4,0,0,3,6,12,91,117,355,11,47,218,14,0,2
25 to 29 years,Asian,Female,766,0,0,0,3,0,3,10,73,63,26,19,362,182,6,20
30 to 34 years,Asian,Female,874,2,0,7,7,2,0,2,80,51,20,41,328,265,24,44
35 to 39 years,Asian,Female,910,0,0,2,8,3,4,6,125,71,25,51,329,237,12,37
40 to 44 years,Asian,Female,805,3,2,2,19,1,5,5,109,78,27,12,285,197,26,35
45 to 49 years,Asian,Female,772,5,2,2,17,7,4,4,116,55,26,29,279,145,29,50
50 to 54 years,Asian,Female,717,1,2,3,5,2,11,22,137,62,22,37,256,97,9,51
55 to 59 years,Asian,Female,605,9,1,7,13,15,5,10,150,37,13,30,206,75,9,24
60 to 64 years,Asian,Female,628,13,4,29,7,1,7,14,172,38,18,37,208,43,11,25
65 to 69 years,Asian,Female,512,10,0,14,6,12,2,22,159,40,18,23,138,49,7,12
70 to 74 years,Asian,Female,450,8,12,12,13,9,10,11,126,24,15,23,144,31,7,5
75 years and over,Asian,Female,603,23,17,27,25,16,20,29,180,36,18,14,131,37,10,21
18 to 24 years,Asian,Male,826,1,0,0,1,0,5,66,149,356,2,17,203,25,0,0
25 to 29 years,Asian,Male,830,0,0,0,0,0,7,15,96,94,16,37,326,208,15,15
30 to 34 years,Asian,Male,805,0,0,0,2,3,8,13,77,60,22,43,237,259,20,61
35 to 39 years,Asian,Male,786,2,0,2,9,3,7,6,98,60,17,21,295,175,21,70
40 to 44 years,Asian,Male,700,3,3,6,2,4,5,5,90,42,11,28,247,183,21,51
45 to 49 years,Asian,Male,711,5,0,6,12,10,2,1,126,39,11,16,210,200,28,44
50 to 54 years,Asian,Male,581,5,0,2,4,4,5,4,114,46,11,27,188,119,8,44
55 to 59 years,Asian,Male,556,1,6,12,6,3,9,11,98,57,11,26,138,94,21,61
60 to 64 years,Asian,Male,491,9,0,3,4,3,3,5,152,37,11,16,151,67,7,23
65 to 69 years,Asian,Male,390,10,2,4,2,10,0,9,110,28,18,14,112,37,15,19
70 to 74 years,Asian,Male,283,6,3,1,9,5,2,10,47,21,5,14,85,44,14,17
75 years and over,Asian,Male,472,13,11,10,8,1,2,35,94,27,8,20,143,45,13,44
18 to 24 years,Black,Male,2044,1,5,0,5,23,42,270,822,675,23,59,109,9,0,0
25 to 29 years,Black,Male,1694,12,0,3,3,6,5,71,749,373,43,78,270,66,11,5
30 to 34 years,Black,Male,1599,1,1,1,14,18,14,62,625,335,57,101,279,82,6,2
35 to 39 years,Black,Male,1364,2,0,3,8,25,20,47,444,271,64,91,256,96,22,16
40 to 44 years,Black,Male,1247,3,3,6,12,20,26,44,471,199,57,57,216,91,16,25
45 to 49 years,Black,Male,1144,0,7,5,10,9,27,51,366,179,49,90,244,88,6,14
50 to 54 years,Black,Male,1176,5,0,6,13,3,28,47,433,198,51,60,216,81,5,30
55 to 59 years,Black,Male,1140,4,0,9,4,16,29,60,423,202,37,78,176,88,3,12
60 to 64 years,Black,Male,1170,9,7,5,24,16,31,81,450,193,53,59,143,83,8,8
65 to 69 years,Black,Male,895,1,5,6,19,7,40,41,345,168,35,33,113,57,16,8
70 to 74 years,Black,Male,614,1,3,7,15,12,23,41,197,105,19,31,75,53,15,18
75 years and over,Black,Male,717,2,8,18,34,31,21,33,262,89,28,37,68,56,18,15
18 to 24 years,Black,Female,2179,2,1,3,0,10,23,195,829,725,53,121,216,0,0,0
25 to 29 years,Black,Female,1755,0,0,0,2,11,7,85,547,369,65,97,461,89,8,14
30 to 34 years,Black,Female,1751,0,0,1,0,7,4,62,581,379,91,116,313,154,16,27
35 to 39 years,Black,Female,1555,2,11,1,13,7,21,57,335,332,62,129,325,198,28,34
40 to 44 years,Black,Female,1495,0,3,8,12,10,26,69,391,259,65,110,271,251,9,12
45 to 49 years,Black,Female,1402,3,2,4,10,5,20,48,370,211,81,101,320,182,18,27
50 to 54 years,Black,Female,1419,3,4,0,8,15,7,37,404,241,71,113,263,208,12,32
55 to 59 years,Black,Female,1363,0,2,9,9,15,33,66,456,225,78,96,229,111,14,21
60 to 64 years,Black,Female,1453,0,8,13,25,10,31,67,483,249,75,99,228,141,16,9
65 to 69 years,Black,Female,1111,6,5,3,19,22,16,71,318,216,49,90,159,109,7,21
70 to 74 years,Black,Female,829,6,6,12,9,10,32,47,286,146,36,51,108,74,1,5
75 years and over,Black,Female,1267,10,29,35,51,39,35,102,471,175,38,59,121,73,11,18
18 to 24 years,Hispanic,Female,3379,9,4,28,29,55,55,377,1107,1194,92,146,264,17,2,0
25 to 29 years,Hispanic,Female,2380,2,4,31,37,48,18,86,790,440,110,169,513,105,22,6
30 to 34 years,Hispanic,Female,2238,5,17,58,30,88,41,112,659,379,100,141,410,171,8,20
